Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
_0885_,1.25,1.589e-06,0.000e+00,1.445e-07,1.733e-06
_1040_,1.25,1.606e-06,0.000e+00,1.261e-07,1.732e-06
genblk1[3].genblk1.i_stopwatch1.u_reg.dout_$_SDFFE_PP0P__Q_2,1.25,1.594e-06,0.000e+00,1.346e-07,1.729e-06
_1032_,1.25,1.577e-06,0.000e+00,1.445e-07,1.722e-06
_1004_,1.25,1.577e-06,0.000e+00,1.445e-07,1.722e-06
_1050_,1.25,1.577e-06,0.000e+00,1.445e-07,1.722e-06
_1270_,1.25,1.632e-06,0.000e+00,8.658e-08,1.718e-06
genblk1[3].genblk1.i_stopwatch1.u_reg.dout_$_SDFFE_PP0P__Q,1.25,1.577e-06,0.000e+00,1.343e-07,1.711e-06
genblk1[4].genblk1.i_stopwatch1.u_reg.dout_$_SDFFE_PP0P__Q_3,1.25,1.635e-06,0.000e+00,7.191e-08,1.707e-06
_1371_,1.25,1.546e-06,0.000e+00,1.594e-07,1.706e-06
_1155_,1.25,1.250e-06,0.000e+00,4.546e-07,1.705e-06
_1180_,1.25,1.343e-06,0.000e+00,3.599e-07,1.703e-06
_1055_,1.25,1.327e-06,0.000e+00,3.599e-07,1.687e-06
_0976_,1.25,1.590e-06,0.000e+00,9.663e-08,1.686e-06
_1016_,1.25,1.588e-06,0.000e+00,8.537e-08,1.673e-06
_1263_,1.25,1.559e-06,0.000e+00,8.392e-08,1.643e-06
_0919_,1.25,1.452e-06,0.000e+00,1.801e-07,1.632e-06
u_counter_hour_high.u_reg.dout_$_SDFFE_PP0P__Q_1,1.25,1.528e-06,0.000e+00,9.998e-08,1.628e-06
u_get1000hz.u_counter.u_reg.dout_$_SDFFE_PP0P__Q_29,1.25,1.486e-06,0.000e+00,1.347e-07,1.621e-06
u_get1000hz.u_counter.u_reg.dout_$_SDFFE_PP0P__Q_30,1.25,1.485e-06,0.000e+00,1.348e-07,1.620e-06
_1474_,1.25,1.427e-06,0.000e+00,1.801e-07,1.607e-06
_1435_,1.25,1.436e-06,0.000e+00,1.594e-07,1.596e-06
_1215_,1.25,1.272e-06,0.000e+00,3.182e-07,1.590e-06
u_get1000hz.u_counter.u_reg.dout_$_SDFFE_PP0P__Q_28,1.25,1.452e-06,0.000e+00,1.346e-07,1.586e-06
_1079_,1.25,1.279e-06,0.000e+00,3.033e-07,1.582e-06
u_counter_min_high.u_reg.dout_$_SDFFE_PP0P__Q_2,1.25,1.476e-06,0.000e+00,1.011e-07,1.577e-06
_0972_,1.25,1.432e-06,0.000e+00,1.411e-07,1.573e-06
_0984_,1.25,1.426e-06,0.000e+00,1.411e-07,1.567e-06
u_counter_sec_low.u_reg.dout_$_SDFFE_PP0P__Q_3,1.25,1.465e-06,0.000e+00,1.014e-07,1.567e-06
u_counter_sec_high.u_reg.dout_$_SDFFE_PP0P__Q_2,1.25,1.455e-06,0.000e+00,1.016e-07,1.557e-06
u_counter_hour_low.u_reg.dout_$_SDFFE_PP0P__Q_3,1.25,1.453e-06,0.000e+00,1.016e-07,1.554e-06
